Row Labels,Sum of Cases,Sum of Deaths,CFR,WorldPop,WPPM,Cases/M,Deaths/M,Country ,urban,Popdens,Obesity_rate,Diabetes_prevalence,Old-age,Hypertension,Avg_temp,Tot_Rain,AQI
Barbados,5422,1,0.018443379,38307726,38.307726,141.5380281,0.007065239,,,,,,,,,,
Cuba,9858,1,0.010144045,10290103,10.290103,958.0079033,0.001043833,,,,,,,,,,
Maldives,20645,2,0.009687576,3256028,3.256028,6340.54744,0.00031543,,,,,,,,,,
Nicaragua,611046,36,0.005891537,,,#DIV/0!,,,,,,,,,,,
Angola,82,0,0,966129,0.966129,84.87479415,0,,,,,,,,,,
Anguilla,13,0,0,19328560,19.32856,0.672579851,0,,,,,,,,,,
Antigua and Barbuda,2108,0,0,145102755,145.102755,14.52763595,0,,,,,,,,,,
Aruba,235,0,0,13461888,13.461888,17.45668958,0,,,,,,,,,,
Australia,1987,0,0,10861,0.010861,182948.1632,0,,,,,,,,,,
Belize,15653,0,0,47606,0.047606,328803.092,0,,,,,,,,,,
Bermuda,4,0,0,179651,0.179651,22.26539234,0,,,,,,,,,,
"Bonaire, Saint Eustatius and Saba",207,0,0,31948,0.031948,6479.278828,0,,,,,,,,,,
British Virgin Islands,200,0,0,104332,0.104332,1916.957405,0,,,,,,,,,,
Cayman Islands,218,0,0,218764,0.218764,996.5076521,0,,,,,,,,,,
Central African Republic,207,0,0,33745,0.033745,6134.24211,0,,,,,,,,,,
Chile,195,0,0,223107,0.223107,874.020089,0,,,,,,,,,,
China,7604,0,0,35950396,35.950396,211.5136646,0,,,,,,,,,,
Costa Rica,92215,0,0,16876720,16.87672,5464.035666,0,,,,,,,,,,
Curaçao,262,0,0,7296769,7.296769,35.90630319,0,,,,,,,,,,
Egypt,578,0,0,106471,0.106471,5428.708287,0,,,,,,,,,,
Eritrea,10588,0,0,8420641,8.420641,1257.386463,0,,,,,,,,,,
Fiji,6238,0,0,5941060,5.94106,1049.98098,0,,,,,,,,,,
France,85,0,0,44042,0.044042,1929.975932,0,,,,,,,,,,
French Polynesia,147,0,0,5447622,5.447622,26.98425111,0,,,,,,,,,,
Ghana,377,0,0,2119410,2.11941,177.8796929,0,,,,,,,,,,
Haiti,11490,0,0,707851,0.707851,16232.22966,0,,,,,,,,,,
Italy,213,0,0,10748272,10.748272,19.81713898,0,,,,,,,,,,
